央视,#genre#
CCTV-1综合,http://111.20.33.93/PLTV/88888893/224/3221226231/index.m3u8
CCTV-2财经,http://111.20.33.93/PLTV/88888893/224/3221226195/index.m3u8
CCTV-3综艺,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV-4国际,http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8
CCTV-5体育,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5+体育,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV-6电影,http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8
CCTV-7军事,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
CCTV-8电视,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV-9纪录,http://111.20.33.93/PLTV/88888893/224/3221226197/index.m3u8
CCTV-10科教,http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8
CCTV-11戏曲,http://39.134.65.141/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12社会,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
CCTV-13新闻,http://39.134.65.141/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14少儿,http://111.20.33.93/PLTV/88888893/224/3221226193/index.m3u8
CCTV-15音乐,http://39.134.65.141/PLTV/88888888/224/3221225513/index.m3u8
CCTV-16奥运,http://117.148.179.162/PLTV/88888888/224/3221233403/index.m3u8
CCTV-17农业,http://111.20.33.93/PLTV/88888893/224/3221226198/index.m3u8
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/index.m3u8
卫视,#genre#
浙江卫视,http://111.20.33.93/TVOD/88888893/224/3221226199/index.m3u8
江苏卫视,http://111.20.33.93/TVOD/88888893/224/3221226200/index.m3u8
湖南卫视,http://111.20.33.93/TVOD/88888893/224/3221226211/index.m3u8
东方卫视,http://111.20.33.93/TVOD/88888893/224/3221226217/index.m3u8
安徽卫视,http://111.20.33.93/TVOD/88888893/224/3221226196/index.m3u8
北京卫视,http://111.20.33.93/TVOD/88888893/224/3221226222/index.m3u8
广东卫视,http://111.20.33.93/TVOD/88888893/224/3221226216/index.m3u8
山东卫视,http://111.20.33.93/PLTV/88888893/224/3221226209/index.m3u8
深圳卫视,http://111.20.33.93/TVOD/88888893/224/3221226205/index.m3u8
江西卫视,http://111.40.196.9/PLTV/88888888/224/3221225591/index.m3u8
辽宁卫视,http://111.20.33.93/TVOD/88888893/224/3221226210/index.m3u8
东南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225657/index.m3u8
厦门卫视,http://39.135.138.58:18890/TVOD/88888888/224/3221226199/index.m3u8
天津卫视,http://111.20.33.93/PLTV/88888893/224/3221226204/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
湖北卫视,http://111.20.33.93/TVOD/88888893/224/3221226194/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
河南卫视,http://39.134.66.110/PLTV/88888888/224/3221225988/index.m3u8
四川卫视,http://117.148.179.142/PLTV/88888888/224/3221231885/index.m3u8
吉林卫视,http://39.134.65.149/PLTV/88888888/224/3221225981/1.m3u8
甘肃卫视,http://39.134.66.66/TVOD/88888888/224/3221225584/index.m3u8
广西卫视,http://111.63.117.13:6060/030000001000/GXWS/GXWS.m3u8
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls
云南卫视,http://111.63.117.13:6060/030000001000/G_YUNNAN/G_YUNNAN.m3u8
内蒙古卫视,http://111.63.117.13:6060/030000001000/G_NEIMENGGU/G_NEIMENGGU.m3u8
宁夏卫视,http://111.63.117.13:6060/030000001000/G_NINGXIA/G_NINGXIA.m3u8
青海卫视,http://111.63.117.13:6060/030000001000/G_QINGHAI/G_QINGHAI.m3u8
陕西卫视,http://117.148.179.156/PLTV/88888888/224/3221231408/index.m3u8
山西卫视,http://111.63.117.13:6060/030000001000/SXWS/SXWS.m3u8
黑龙江卫视,http://111.40.196.38/PLTV/88888888/224/3221225544/index.m3u8
西藏卫视,http://39.134.65.166/PLTV/88888888/224/3221225570/1.m3u8
新疆卫视,http://111.63.117.13:6060/030000001000/G_XINJIANG/G_XINJIANG.m3u8
体育,#genre#
CCTV风云足球,http://117.148.179.137/PLTV/88888888/224/3221231547/index.m3u8
CCTV央视台球,http://117.148.179.167/PLTV/88888888/224/3221231616/index.m3u8
CCTV高尔夫网球,http://117.148.179.160/PLTV/88888888/224/3221231619/index.m3u8
五星体育HD,http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
五星体育HD,http://112.132.214.218/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
劲爆体育HD,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jbtyhd/2300000/mnf.m3u8?blog.ntnas.top
PPTV体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
新视觉HD,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
NEWTV精品体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225709/index.m3u8
NEWTV超级体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225622/index.m3u8
纬来体育,rtmp://59.124.75.138:1935/sat/tv721
ELEVEN1,rtmp://59.124.75.138:1935/sat/tv731
ELEVEN2,rtmp://59.124.75.138:1935/sat/tv741
爱尔达体育1,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=112
爱尔达体育2,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=111
电影,#genre#
CHC高清电影,http://111.20.33.93/PLTV/88888893/224/3221226463/index.m3u8
CHC动作电影,http://111.20.33.70/PLTV/88888893/224/3221226465/index.m3u8
CHC家庭影院,http://111.20.33.93/PLTV/88888893/224/3221226462/index.m3u8
Hot亚洲影院,http://39.136.48.2:8089/PLTV/88888888/224/3221225844/index.m3u8
Hot欧美影院,http://39.136.48.4:8089/PLTV/88888888/224/3221226345/index.m3u8
东森电影,http://120.84.96.142:808/hls/32/index.m3u8
龙祥电影,http://120.84.96.142:808/hls/35/index.m3u8
天映经典,http://120.84.96.142:808/hls/85/index.m3u8
黑莓电影,http://183.207.249.14/PLTV/3/224/3221225567/index.m3u8
星光影视,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
华数影视,http://hls-ott-zhibo.wasu.tv/live/442/index.m3u8
NewTV超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
4K电影,http://182.151.211.171:808/hls/58/index.m3u8
4K超电影,http://113.50.66.47:8104/live.rxip.sc96655.com/live/emdy4k_8000.m3u8
台湾,#genre#
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
中视,rtmp://59.124.75.138:1935/sat/tv091
华视,rtmp://59.124.75.138:1935/sat/tv111
台视,rtmp://59.124.75.138:1935/sat/tv071
民视,rtmp://59.124.75.138:1935/sat/tv051
莲花卫视,http://nettvpro.live/hls/lotustv.php
TVBS新闻,rtmp://59.124.75.138:1935/sat/tv551
TVBS欢乐,rtmp://59.124.75.138:1935/sat/tv421
有线18,rtmp://59.124.75.138:1935/sat/hk041
纬来育乐,rtmp://59.124.75.138:1935/sat/tv701
纬来日本,rtmp://59.124.75.138:1935/sat/tv771
东森财经,rtmp://59.124.75.138:1935/sat/tv571
东森超视,rtmp://59.124.75.138:1935/sat/tv331
陌陌综合,rtmp://59.124.75.138:1935/sat/tv761
东森财经,http://38.64.72.148:80/hls/modn/list/2021/chunklist0.m3u8
东森电影,http://120.84.96.32:808/hls/32/index.m3u8
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
台湾原住民,https://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
香港,#genre# 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
TVB明珠台,http://kkmix1.f3322.net:825/hls/ch1/s.m3u8
TVB剧场,http://117.148.179.157/PLTV/88888888/224/3221231733/index.m3u8
TVB J2,http://120.84.96.33:808/hls/86/index.m3u8
翡翠台,http://live.tvfix.org/hls/jade.m3u8
中國環球電視,http://live.cgtn.com/500/prog_index.m3u8
亚洲ATV,https://juyunlive.juyun.tv/live/24950198.m3u8
